contrast_0;dissimilarity_0;homogeneity_0;energy_0;correlation_0;contrast_45;dissimilarity_45;homogeneity_45;energy_45;correlation_45;contrast_90;dissimilarity_90;homogeneity_90;energy_90;correlation_90;contrast_135;dissimilarity_135;homogeneity_135;energy_135;correlation_135;Label
58.00218506;4.634336678;0.301467374;0.05833352;0.991286165;85.25431483;5.890079529;0.25165637;0.057599135;0.987178989;38.23730212;3.830880713;0.341147868;0.062908252;0.994305006;90.41716536;6.020078075;0.249461008;0.057534588;0.986402796;1
14.67537347;2.17664437;0.447777412;0.045324791;0.993265427;28.56194002;2.966790081;0.368593679;0.03875632;0.986870344;16.69304348;2.216343367;0.454425495;0.043685095;0.992411911;27.2790461;3.09285131;0.362929607;0.038284995;0.987459343;1
13.38115942;2.07638796;0.460525101;0.044035144;0.995258158;28.00721468;3.041811613;0.36551478;0.036301186;0.99004513;18.55432553;2.509754738;0.423873054;0.040380597;0.993430769;26.71022695;3.051968099;0.362045883;0.036419771;0.990506401;1
14.82137124;1.718651059;0.520595965;0.067369255;0.995293962;25.36724421;2.42566638;0.448921722;0.060094585;0.991885719;13.89021182;1.853756968;0.521619036;0.068561536;0.99558558;24.37687498;2.493607454;0.43616039;0.059131841;0.992201991;1
21.8413155;3.048361204;0.334329235;0.02582972;0.993522836;43.73876131;4.267771054;0.270484731;0.022334379;0.986966222;29.52453735;3.289576366;0.337507973;0.026322475;0.991190577;45.6359213;4.287502377;0.266617835;0.02247086;0.986401559;1
11.15599777;2.185429208;0.416046325;0.035331568;0.995711586;20.63479156;2.981991253;0.341724954;0.03064679;0.992059534;14.256466;2.375462653;0.412581796;0.03479845;0.99452556;25.75272089;3.230825159;0.334335341;0.029940352;0.990089923;1
50.91927536;4.407190635;0.301845397;0.021086583;0.994758443;124.3900292;6.590787575;0.240182467;0.017995552;0.987171572;78.98486065;5.249453735;0.293844574;0.020895606;0.991843221;103.2149752;6.204628584;0.243474879;0.018307132;0.989355438;1
14.15551839;2.686354515;0.334817353;0.028300898;0.996007629;39.35738974;4.336864241;0.245671723;0.023224519;0.988923311;30.45104794;3.685451505;0.28872483;0.025735969;0.99143239;42.34075681;4.402478719;0.248225547;0.023510664;0.988083747;1
39.97648829;4.392519509;0.250134548;0.018284245;0.995695699;92.04760573;6.461381864;0.193751944;0.015674837;0.990093147;61.08682274;5.199308807;0.233999172;0.017664301;0.993423159;90.01894833;6.422836434;0.194142529;0.015656446;0.990311431;1
21.15261984;2.639308807;0.38566796;0.027372324;0.994391374;29.59797989;3.373843693;0.32795982;0.024144383;0.992142144;16.40948718;2.611627648;0.38306765;0.026915696;0.995651588;36.7520162;3.724824107;0.300794954;0.023013594;0.990243026;1
28.97606466;3.765250836;0.280650987;0.019860453;0.997273375;47.23668639;4.80125502;0.230968887;0.017551504;0.995539732;25.02371237;3.454659978;0.29343572;0.020233432;0.997635031;46.43297055;4.812093824;0.229142058;0.017592985;0.995615679;1
65.47641026;4.348717949;0.24934156;0.023763948;0.990662817;119.6135166;6.059328195;0.193185789;0.02105585;0.982821159;77.1051728;4.87884058;0.229805475;0.023563838;0.988935445;118.6142437;6.016442769;0.192488987;0.021259069;0.982964689;1
75.42326644;6.249777035;0.169500298;0.014338303;0.989810883;172.7977875;9.261115647;0.12679374;0.01219052;0.976606817;118.2349275;7.700055741;0.149062816;0.013325107;0.984009425;154.7438396;8.87202604;0.128673472;0.012289133;0.979050651;1
9.751516165;2.01851728;0.431445842;0.035810887;0.995781677;20.70883995;2.971320231;0.341077311;0.030156527;0.991020255;15.88362319;2.514882943;0.394661623;0.033232336;0.993122358;24.73947719;3.140949206;0.334174854;0.029599365;0.989272302;1
55.43049052;4.706075808;0.252807577;0.017757547;0.990728514;117.7879666;7.063634635;0.185687246;0.014508483;0.98022912;68.56168339;5.522976589;0.220535182;0.016100737;0.988491836;96.86680238;6.495553741;0.191483562;0.014859603;0.983741022;1
